теря́ть,to lose ,'https://en.openrussian.org/ru/терять'
броса́ть,to throw,'https://en.openrussian.org/ru/бросать'
торопи́ться,to hurry up ,'https://en.openrussian.org/ru/торопиться'
стро́ить,to build ,'https://en.openrussian.org/ru/строить'
расти́,to grow ,'https://en.openrussian.org/ru/расти'
поднима́ть,to raise ,'https://en.openrussian.org/ru/поднимать'
приезжа́ть,to come ,'https://en.openrussian.org/ru/приезжать'
жени́ться,to marry ,'https://en.openrussian.org/ru/жениться'
звуча́ть,to sound ,'https://en.openrussian.org/ru/звучать'
отлича́ться,to be different ,'https://en.openrussian.org/ru/отличаться'
отдава́ть,to give ,'https://en.openrussian.org/ru/отдавать'
проче́сть,to read ,'https://en.openrussian.org/ru/прочесть'
остана́вливаться,to stop ,'https://en.openrussian.org/ru/останавливаться'
вари́ть,to cook,'https://en.openrussian.org/ru/варить'
испуга́ться,to be scared,'https://en.openrussian.org/ru/испугаться'
съесть,to eat ,'https://en.openrussian.org/ru/съесть'
приближа́ться,to get closer,'https://en.openrussian.org/ru/приближаться'
поступа́ть,to do ,'https://en.openrussian.org/ru/поступать'
научи́ться,to learn ,'https://en.openrussian.org/ru/научиться'
ненави́деть,to hate ,'https://en.openrussian.org/ru/ненавидеть'
замолча́ть,to get quiet,'https://en.openrussian.org/ru/замолчать'
меня́ть,to change ,'https://en.openrussian.org/ru/менять'
стуча́ть,to pound,'https://en.openrussian.org/ru/стучать'
лета́ть,to fly ,'https://en.openrussian.org/ru/летать'
случа́ться,to happen ,'https://en.openrussian.org/ru/случаться'
пры́гать,to jump ,'https://en.openrussian.org/ru/прыгать'
корми́ть,to feed ,'https://en.openrussian.org/ru/кормить'
уважа́ть,to respect ,'https://en.openrussian.org/ru/уважать'
плыть,to swim,'https://en.openrussian.org/ru/плыть'
ложи́ться,to go ,'https://en.openrussian.org/ru/ложиться'
проверя́ть,to test ,'https://en.openrussian.org/ru/проверять'
продава́ть,to sell ,'https://en.openrussian.org/ru/продавать'
води́ть,to led ,'https://en.openrussian.org/ru/водить'
посыла́ть,to send ,'https://en.openrussian.org/ru/посылать'
представля́ться,to introduce oneself,'https://en.openrussian.org/ru/представляться'
разбуди́ть,to wake (someone) up,'https://en.openrussian.org/ru/разбудить'
про́бовать,to try ,'https://en.openrussian.org/ru/пробовать'
запла́кать,to cry ,'https://en.openrussian.org/ru/заплакать'
течь,to flow,'https://en.openrussian.org/ru/течь'
открыва́ться,to open up,'https://en.openrussian.org/ru/открываться'
научи́ть,to teach,'https://en.openrussian.org/ru/научить'
слома́ть,to break,'https://en.openrussian.org/ru/сломать'
поцелова́ть,to kiss,'https://en.openrussian.org/ru/поцеловать'
доходи́ть,to reach,'https://en.openrussian.org/ru/доходить'
постуча́ть,to knock,'https://en.openrussian.org/ru/постучать'
сове́товать,to give advice,'https://en.openrussian.org/ru/советовать'
благодари́ть,to thank,'https://en.openrussian.org/ru/благодарить'
целова́ть,to kiss,'https://en.openrussian.org/ru/целовать'
полюби́ть,to love,'https://en.openrussian.org/ru/полюбить'
отходи́ть,to step away,'https://en.openrussian.org/ru/отходить'
ре́зать,to cut,'https://en.openrussian.org/ru/резать'
ночева́ть,to spend the night,'https://en.openrussian.org/ru/ночевать'
тра́тить,to spend,'https://en.openrussian.org/ru/тратить'
лечи́ть,to treat,'https://en.openrussian.org/ru/лечить'
заболе́ть,to get sick,'https://en.openrussian.org/ru/заболеть'
просыпа́ться,to wake up,'https://en.openrussian.org/ru/просыпаться'
запи́сывать,to write,'https://en.openrussian.org/ru/записывать'
прое́хать,to drive through,'https://en.openrussian.org/ru/проехать'
нарисова́ть,to draw,'https://en.openrussian.org/ru/нарисовать'
проща́ться,to say goodbye ,'https://en.openrussian.org/ru/прощаться'
руга́ть,to blame ,'https://en.openrussian.org/ru/ругать'
извиня́ться,to apologize ,'https://en.openrussian.org/ru/извиняться'
вози́ть,to carry ,'https://en.openrussian.org/ru/возить'
надева́ть,to wear ,'https://en.openrussian.org/ru/надевать'
забира́ть,to pick up ,'https://en.openrussian.org/ru/забирать'
купа́ться,to swim ,'https://en.openrussian.org/ru/купаться'
повора́чивать,to rotate ,'https://en.openrussian.org/ru/поворачивать'
гла́дить,to pet,'https://en.openrussian.org/ru/гладить'
узнава́ть,to learn ,'https://en.openrussian.org/ru/узнавать'
труди́ться,to work ,'https://en.openrussian.org/ru/трудиться'
чи́стить,to clean ,'https://en.openrussian.org/ru/чистить'
толка́ть,to push ,'https://en.openrussian.org/ru/толкать'
отправля́ть,to send ,'https://en.openrussian.org/ru/отправлять'
различа́ть,to distinguish ,'https://en.openrussian.org/ru/различать'
дели́ть,to share ,'https://en.openrussian.org/ru/делить'
убира́ть,to remove ,'https://en.openrussian.org/ru/убирать'
скуча́ть,to miss,'https://en.openrussian.org/ru/скучать'
убега́ть,to escape ,'https://en.openrussian.org/ru/убегать'
налива́ть,to pour ,'https://en.openrussian.org/ru/наливать'
буди́ть,to wake (someone) up,'https://en.openrussian.org/ru/будить'
воспи́тывать,to educate ,'https://en.openrussian.org/ru/воспитывать'
дружи́ть,to be friends,'https://en.openrussian.org/ru/дружить'
увели́чиваться,to increase ,'https://en.openrussian.org/ru/увеличиваться'
кида́ть,to throw ,'https://en.openrussian.org/ru/кидать'
разреша́ть,to allow ,'https://en.openrussian.org/ru/разрешать'
вынима́ть,to remove ,'https://en.openrussian.org/ru/вынимать'
поблагодари́ть,to thank ,'https://en.openrussian.org/ru/поблагодарить'
выбра́сывать,to throw ,'https://en.openrussian.org/ru/выбрасывать'
зака́нчивать,to finish ,'https://en.openrussian.org/ru/заканчивать'
привыка́ть,to get used to,'https://en.openrussian.org/ru/привыкать'
знако́миться,to meet ,'https://en.openrussian.org/ru/знакомиться'
выезжа́ть,to leave,'https://en.openrussian.org/ru/выезжать'
дое́хать,to drive ,'https://en.openrussian.org/ru/доехать'
привози́ть,to bring ,'https://en.openrussian.org/ru/привозить'
уноси́ть,to carry away,'https://en.openrussian.org/ru/уносить'
поправля́ть,to correct ,'https://en.openrussian.org/ru/поправлять'
стира́ть,to wash,'https://en.openrussian.org/ru/стирать'
отводи́ть,to lead away,'https://en.openrussian.org/ru/отводить'
запреща́ть,to deny ,'https://en.openrussian.org/ru/запрещать'
преподава́ть,to teach,'https://en.openrussian.org/ru/преподавать'
закрыва́ться,to close ,'https://en.openrussian.org/ru/закрываться'
устава́ть,to get tired,'https://en.openrussian.org/ru/уставать'
ка́шлять,to cough,'https://en.openrussian.org/ru/кашлять'
подъезжа́ть,to drive ,'https://en.openrussian.org/ru/подъезжать'
уменьша́ться,to decrease ,'https://en.openrussian.org/ru/уменьшаться'
прибыва́ть,to arrive ,'https://en.openrussian.org/ru/прибывать'
выраста́ть,to grow ,'https://en.openrussian.org/ru/вырастать'
отлича́ть,to distinguish ,'https://en.openrussian.org/ru/отличать'
путеше́ствовать,to travel ,'https://en.openrussian.org/ru/путешествовать'
вылета́ть,to fly ,'https://en.openrussian.org/ru/вылетать'
опа́здывать,to be late ,'https://en.openrussian.org/ru/опаздывать'
улета́ть,to fly away ,'https://en.openrussian.org/ru/улетать'
жа́рить,to fry ,'https://en.openrussian.org/ru/жарить'
диктова́ть,to dictate ,'https://en.openrussian.org/ru/диктовать'
соединя́ть,to connect ,'https://en.openrussian.org/ru/соединять'
относи́ть,to include,'https://en.openrussian.org/ru/относить'
зака́зывать,to order ,'https://en.openrussian.org/ru/заказывать'
увели́чивать,to increase ,'https://en.openrussian.org/ru/увеличивать'
проспа́ть,to sleep through,'https://en.openrussian.org/ru/проспать'
выпи́сывать,to write ,'https://en.openrussian.org/ru/выписывать'
присыла́ть,to send ,'https://en.openrussian.org/ru/присылать'
предъявля́ть,to present ,'https://en.openrussian.org/ru/предъявлять'
ве́сить,to weigh ,'https://en.openrussian.org/ru/весить'
запира́ть,to lock ,'https://en.openrussian.org/ru/запирать'
переезжа́ть,to move ,'https://en.openrussian.org/ru/переезжать'
въезжа́ть,to enter ,'https://en.openrussian.org/ru/въезжать'
фотографи́ровать,to photograph ,'https://en.openrussian.org/ru/фотографировать'
прилета́ть,to fly ,'https://en.openrussian.org/ru/прилетать'
завора́чивать,to wrap ,'https://en.openrussian.org/ru/заворачивать'
замерза́ть,to freeze ,'https://en.openrussian.org/ru/замерзать'
переска́зывать,to retell ,'https://en.openrussian.org/ru/пересказывать'
выки́дывать,to throw away,'https://en.openrussian.org/ru/выкидывать'
уменьша́ть,to reduce ,'https://en.openrussian.org/ru/уменьшать'
исправля́ть,to fix ,'https://en.openrussian.org/ru/исправлять'
арендова́ть,to rent ,'https://en.openrussian.org/ru/арендовать'
различа́ться,to vary ,'https://en.openrussian.org/ru/различаться'
отвози́ть,to drive ,'https://en.openrussian.org/ru/отвозить'
разводи́ться,to divorce ,'https://en.openrussian.org/ru/разводиться'
переспра́шивать,to ask again ,'https://en.openrussian.org/ru/переспрашивать'
соревнова́ться,to compete ,'https://en.openrussian.org/ru/соревноваться'
умножа́ть,to multiply ,'https://en.openrussian.org/ru/умножать'
приземля́ться,to land ,'https://en.openrussian.org/ru/приземляться'
соли́ть,to salt ,'https://en.openrussian.org/ru/солить'
зарегистри́роваться,to register ,'https://en.openrussian.org/ru/зарегистрироваться'
упако́вывать,to pack,'https://en.openrussian.org/ru/упаковывать'
отга́дывать,to guess ,'https://en.openrussian.org/ru/отгадывать'
пакова́ть,to pack,'https://en.openrussian.org/ru/паковать'
резерви́ровать,to reserve ,'https://en.openrussian.org/ru/резервировать'
паркова́ть,to park,'https://en.openrussian.org/ru/парковать'
брать в аре́нду,to rent ,'https://en.openrussian.org/ru/брать','https://en.openrussian.org/ru/в','https://en.openrussian.org/ru/арендуемый'
будьте здоро́вы,to be healthy ,'https://en.openrussian.org/ru/здоровый'
взять такси́,to take a taxi ,'https://en.openrussian.org/ru/взять','https://en.openrussian.org/ru/такси'
ви́деть сон,to see a dream,'https://en.openrussian.org/ru/видеть','https://en.openrussian.org/ru/сон'
води́ть автомоби́ль,to drive a car ,'https://en.openrussian.org/ru/водить','https://en.openrussian.org/ru/автомобиль'
выходи́ть за́муж,to get married ,'https://en.openrussian.org/ru/выходить','https://en.openrussian.org/ru/замуж'
де́лать поку́пки,to shop ,'https://en.openrussian.org/ru/делать'
игра́ть роль,to play a role ,'https://en.openrussian.org/ru/играть','https://en.openrussian.org/ru/роль'
идти́ пешко́м,to walk ,'https://en.openrussian.org/ru/идти','https://en.openrussian.org/ru/пешком'
иска́ть рабо́ту,to look for work,'https://en.openrussian.org/ru/искать'
обраща́ть внима́ние,to note ,'https://en.openrussian.org/ru/обращать','https://en.openrussian.org/ru/внимание'
передава́ть приве́т,to say hi,'https://en.openrussian.org/ru/передавать','https://en.openrussian.org/ru/привет'
сдава́ть экза́мен,to take the exam,'https://en.openrussian.org/ru/сдавать','https://en.openrussian.org/ru/экзамен'
ходи́ть по магази́нам,to go shopping,'https://en.openrussian.org/ru/ходить','https://en.openrussian.org/ru/по'
чу́вствовать себя́,to feel,'https://en.openrussian.org/ru/чувствовать','https://en.openrussian.org/ru/себя'
